contract_id,file_path,status,tokens_used,uptime_guarantee,response_time_sla,sla_breach_threshold,sla_measurement_period,penalty_uptime_breach,penalty_late_delivery,penalty_termination_fee,penalty_late_payment,penalty_data_breach,penalty_has_monetary,penalty_max_amount,penalty_currency,service_credit_cap,renewal_terms,termination_clause,liability_cap,governing_law,dispute_resolution,created_at
cuad_0000,data\cuad_raw\cuad_0000.txt,partial,7948,,,,,,,,,,,,,,,,,,,2026-05-16 12:56:50
cuad_0001,data\cuad_raw\cuad_0001.txt,success,6056,,,,,,,,,,0,,,,"The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by either party. Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.","Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination. At the time of termination, any links to Chase's Website must be removed immediately. Affiliate will continue to receive Commission payments for all Approved Accounts placed during the term of this Agreement. Notwithstanding the foregoing, Chase may terminate this Agreement if Affiliate does not comply with the terms and conditions herein.",Chase's aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this Agreement.,"This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.",,2026-05-16 12:57:05
cuad_0002,data\cuad_raw\cuad_0002.txt,success,7935,,,,,,,,"A LATE PAYMENT CHARGE of one and one-half percent (1  %) or the maximum rate permitted by applicable law, whichever is less, of the outstanding balance due to Company per month will be imposed on all overdue accounts.",,1,,USD,,This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.,"18.1 This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party. Company acknowledges that this Agreement shall not be terminated for MA s failure to follow an operating plan, standard procedure, training manual, or substantial equivalent published in Paragraph 3 (k) of this Agreement, except that Company does reserve the right to terminate this Agreement for MA s failure to follow required procedures relating to the processing of sales contracts, invoices and billing related to Technology sold under this Agreement.
18.2 Either party may cancel this Agreement upon the occurrence of any of the following:
(a) Material breach of any covenant, term, condition or other provisions of this Agreement, which breach is not remedied within ten (10) days after notice of such breach is received by the breaching party;
(b)Bankruptcy, reorganization, arrangement or insolvency proceedings being instituted by or against a party;
(c) An assignment by a party for the benefit of its creditors;
(d)Consenting to the appointment of a trustee or receiver by a party, or a trustee or receiver being appointed for a party or for a substantial part of its assets.",Company's liability shall not exceed the fees that MA has paid under this Agreement.,"This Agreement is accepted by Company in the State of Nevada and shall be governed by and construed in accordance with the laws thereof, which laws shall prevail in the event of any conflict. For such limited purpose, MA hereby consents to the personal jurisdiction of any court of competent jurisdiction in the State of Nevada.","If any legal action or proceeding is initiated, the prevailing party shall be entitled to all attorney fees, court costs, and expenses in addition to any other relief to which such prevailing party may be entitled.",2026-05-16 12:57:22
cuad_0003,data\cuad_raw\cuad_0003.txt,success,13661,,,,,,,,,,0,,,,"If either party wishes to extend the Initial Term it shall provide notice to the other not later than 180 days, nor sooner than 270 days, before the end of the Initial Term. The parties shall then engage in discussions regarding renewal for a period of 30 days. If no agreement is reached during that 30-day period, then neither party shall have any obligation to extend this Agreement beyond the Initial Term.","Either Party may terminate this Agreement, immediately, by giving written notice of termination to the other, and without prejudice to any other rights or remedies the terminating party may have, if: (a) The other Party breaches any material provision of this Agreement, other than any provision of Section 14.8 or Articles V or XIII, and fails to cure such breach within thirty (30) days after receipt from the terminating party of written notice of the breach. (b) The other Party breaches any provision of Section or 14.8 or Articles V or XIII, and, to the extent such breach is susceptible to cure, fails to cure such breach within five (5) days after receipt from the terminating party of written notice of the breach. Notwithstanding anything else to the contrary herein, if the breach is not susceptible to cure, this Agreement will terminate immediately as of such breach, with or without any notice from the terminating party. (c) (i) A voluntary petition is commenced by the other Party under the United States Bankruptcy Code, as amended, 11 U.S.C. § 101 et seq., (ii) the other Party has an involuntary petition commenced against it under the Bankruptcy Code and such petition is not dismissed within sixty (60) days after filing, (iii) the other Party becomes insolvent, (iv) any substantial part of the other Party's property becomes subject to any levy, seizure, assignment, application, or sale for or by any creditor or governmental agency, or (v) the other Party liquidates or otherwise discontinues all or most of that portion of its business operations which are related to this Agreement.","EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIII OF THIS AGREEMENT AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE, EXEMPLARY, OR EXTRA-CONTRACTUAL DAMAGES OF ANY KIND WHATSOEVER ARISING FROM OR CONNECTED WITH THIS AGREEMENT, INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, LOST REVENUES, OR LOSS OF BUSINESS, REGARDLESS OF LEGAL THEORY, WHETHER OR NOT FORESEEABLE, EVEN IF EITHER PARTY HERETO HAS BEEN ADVISED OF THE POSSIBILITY OR PROBABILITY OF SUCH DAMAGES AND EVEN IF THE REMEDIES OTHERWISE PROVIDED BY THIS AGREEMENT FAIL OF THEIR ESSENTIAL PURPOSE. THE REMEDIES PROVIDED BY THIS AGREEMENT AND THE PROVISIONS OF THIS AGREEMENT ALLOCATE THE RISKS OF THIS AGREEMENT BETWEEN THE PARTIES, SOME OF WHICH MAY BE UNKNOWN OR UNDERMINABLE. THESE LIMITATIONS ARE A MATERIAL INDUCEMENT FOR THE PARTIES TO THIS AGREEMENT TO ENTER INTO THIS AGREEMENT, AND THE PARTIES TO THIS AGREEMENT HAVE RELIED UPON THESE PROVISIONS IN DETERMINING WHETHER OR NOT TO ENTER INTO THIS AGREEMENT. (b) EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIV HEREUNDER, AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, THE AGGREGATE TOTAL LIABILITY OF EITHER PARTY TO THE OTHER PARTY AND TO ALL OTHER PERSONS AND ENTITIES UNDER THIS AGREEMENT SHALL UNDER NO CIRCUMSTANCES EXCEED THE AMOUNT OF THE NET REVENUE RECEIVED BY NCM PURSUANT TO SECTION 7.2 OF THIS AGREEMENT DURING THE FIVE (5) YEAR PERIOD PRECEDING SUCH LIABILITY, LESS IN ANY CASE THE AGGREGATE OF ANY AMOUNTS PAID BY NCM HEREUNDER ON ACCOUNT OF PREVIOUS EVENTS OF LIABILITY.",This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.,"Any disputes between the Parties relating to the calculation of amounts owed shall be referred to a mutually satisfactory independent public accounting firm that has not been employed by either party for the two (2) year period immediately preceding the date of such referral. The determination of such firm shall be conclusive and binding on each party, and judgment upon any such determination can be entered in any court having jurisdiction over the matter. Each Party shall bear one-half of the fees of such firm. If the Parties cannot select such accounting firm, then the selection of such accounting firm shall be made by the American Arbitration Association located in Denver, Colorado.",2026-05-16 12:57:43
cuad_0004,data\cuad_raw\cuad_0004.txt,success,5927,,,,,,,,Payments that are not received within thirty (30) days after their due date will bear interest at the rate of twelve percent (12.0%) per annum compounded monthly from the due date until such payment is received.,,1,twelve percent (12.0%) per annum compounded monthly,,,This Agreement will remain in force for perpetuity or until and unless otherwise mutually agreed or amended in writing by both parties.,,,This Agreement shall be construed and governed in accordance with the laws of the State of Maryland regardless of the place or places of its physical execution and performance.,"All actions, cases, suits and proceedings in connection with this Agreement shall be brought in Maryland. All persons affected by this Agreement specifically consent to the personal jurisdiction of and venue in said courts.",2026-05-16 12:57:58
cuad_0005,data\cuad_raw\cuad_0005.txt,success,5937,element 5 does not guarantee the Affiliate that the operation of its Web sites will be maintained without interruptions and without errors.,,"if the end user will not meet its payment obligations or will meet them only partially, or if for any other reason the invoice to the end user was cancelled (e.g. in cases where a charge back of a credit card charge, a debit advice or other return or refund of the software product occurs)",element 5 shall record and compute on a monthly basis the amount of said Advertising Cost Compensation for the Affiliate.,,,,,,0,,,,,"Either party may cancel this Agreement at any time, with or without supplying a reason, through written notification or by making suitable settings in the respective Control Panel.",the obligation to pay restitution is limited to the damages that typically arise,the law of the Federal Republic of Germany applies,"The place of jurisdiction for all claims arising in connection with this business relationship is Cologne, Germany.",2026-05-16 12:58:13
cuad_0006,data\cuad_raw\cuad_0006.txt,success,5481,,,,,,,,"The Marketing Affiliate agrees to pay a late charge of 1 l/2% per month on the unpaid, past-due amount as well as a returned check fee of not less than $35.00 per returned item. In addition, the Marketing Affiliate agrees to pay 25% attorney s fees plus court cost in the event that the Marketing Affiliate s account is referred to an attorney for collection.",,1,$35.00 per returned item,USD,,"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same terms and agreements unless superceded by future agreements.","This Agreement may be terminated by either party with cause upon thirty (30) days written notice. Upon Marketing Affiliate s default in payment or other breach of this Agreement, Equidata may terminate this Agreement without notice to Marketing Affiliate. Upon termination for any reason, Equidata reserves the right to deactivate Marketing Affiliate s access to the services including the Equidata Web Site. Termination does not release Marketing Affiliate from paying all amounts owed to Equidata.","IN NO EVENT WILL EQUIDATA BE LIABLE FOR ANY INDIRECT, EXEMPLARY, PUNITIVE, SPECIAL, OR CONSEQUENTIAL DAMAGES INCLUDING WITHOUT LIMITATION LOST PROFITS OR OTHER ECONOMIC LOSS, LOST REIMBURSEMENTS, AND LOST DATA, OR FOR ANY CLAIM BY ANY THIRD PARTY.",This Agreement is governed by and construed in accordance with the laws of the State of Virginia.,"Such disputes shall be settled by arbitration in the City of Newport News, Virginia.",2026-05-16 12:58:29
cuad_0007,data\cuad_raw\cuad_0007.txt,success,11329,,,,,,,,,,0,,,,"If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period ( Renewal Term ).","In addition to Network s other rights to terminate this Agreement, Network may, by providing Affiliate with thirty (30) days prior notice, terminate this Agreement if Affiliate is in material breach of this Agreement, provided that Affiliate shall have thirty (30) days from Network s notice specifying in detail the nature of such breach to cure such breach","NOTWITHSTANDING ANY OTHER PROVISION IN THIS AGREEMENT TO THE CONTRARY, NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES (INCLUDING LOSS OF PROFITS OF REVENUES, OR DAMAGES TO OR LOSS OF PERSONAL PROPERTY) IN ANY CAUSE OF ACTION ARISING OUT OF, RELATED TO, OR IN CONNECTION WITH A DEFAULT UNDER OR A BREACH OF THIS AGREEMENT.",This Agreement and all matters or issues collateral thereto shall be governed by the laws of the State of New York applicable to contracts to be entirely performed therein.,,2026-05-16 12:58:46
cuad_0008,data\cuad_raw\cuad_0008.txt,partial,3794,,,,,,,,,,,,,,,This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement.,,,,2026-05-16 12:59:01
cuad_0009,data\cuad_raw\cuad_0009.txt,success,7043,,,,,,,,,,0,,,,This Agreement will automatically renew for successive one-year terms unless terminated by either party by providing the other with 30 days written notice that this Agreement will not be renewed or Affiliate enters into a Processing agreement with Network 1 and an ISO Sponsorship agreement with Harris Bank in which case this Agreement will automatically terminate concurrent with the execution of such agreements.,"Agreement may be terminated prior to the conclusion of the Term by giving written notice of termination: A. By either party as a result of default by the other party under this Agreement and failure to cure said default within thirty (30) days after notice of said default is given. B. By either party in the event of insolvency, receivership, voluntary or involuntary bankruptcy or an assignment for the benefit of creditors of or by the Affiliate other than in the ordinary course of business. However, Affiliate may pledge or otherwise collateralize assets for the purpose of securing commercial loans or lines of credit in the ordinary course of business provided that such pledge is subordinate to an security interest associated with the Merchant accounts and/or losses from such accounts. C. By Affiliate in the event of any changes in the Affiliate's Fee (other than direct pass through increases related to Visa and MasterCard interchange, fees, assessments and dues, processor communication costs, and other direct increases including terminal hardware). D. By Network 1, for cause. For purpose hereof ""cause"" shall consist of (i) fraud, intentional misrepresentation or negligence by Affiliate or any Contractor located by Affiliate in compiling or providing any information submitted to or relied on by Network 1 to Network 1, whether or not such fraud or misrepresentation is based on a misstatement, omission, a substantive fact, or data (ii) intentional violations by the Affiliate or any Contractor(s) located by Affiliate of any of the rules or regulations of VISA, MasterCard, the Member Bank or Network 1 and (iii) the providing of vendor services or merchant services by Affiliate or Contractor(s) located by Affiliate which are competitive with Network 1 or without the prior written consent of Network 1, contrary to Section 1.01 [CONTRACTORS] and IV, violation of any clause of Network 1 Affiliate Office Agreement and failure to cure such violation within 30 days of notification E. By Network 1 in the event any provision of the Sales Certificate or the Code of Ethics is in breach by the Affiliate or Contractor(s) located by Affiliate. F. Affiliate enters into a Processing agreement with Network 1 and an ISO Sponsorship agreement with Harris Bank in which case this Agreement will automatically terminate concurrent with the execution of such agreements.",,"All disputes or claims hereunder shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association.","All disputes or claims hereunder shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association.",2026-05-16 12:59:19
